name,construction_time,checking_time,total_time,total,truth_violate,collusion_violate,optimal_violate,efficient_violate
"/home/liuye/fairness/auction/Auction-0x3280660b3bafdad41a774938ab5a34ae463edbfe.sol
",7.894s,0.111s,8.005s,18,1,0,0,0
"/home/liuye/fairness/auction/Auction-0x3280660b3bafdad41a774938ab5a34ae463edbfe.sol
",7.862s,0.113s,7.975s,18,0,1,0,0
"/home/liuye/fairness/auction/Auction-0x3280660b3bafdad41a774938ab5a34ae463edbfe.sol
",8.057s,0.108s,8.165s,18,0,0,0,1
"/home/liuye/fairness/auction/Auction-0x3280660b3bafdad41a774938ab5a34ae463edbfe.sol
",8.038s,0.107s,8.145s,18,0,0,1,0
"/home/liuye/fairness/auction/Auction-0x5b566b473bb0ea8dc0fc6047dd623e5fa3b42307.sol
",5.768s,0.077s,5.845s,13,1,0,0,0
"/home/liuye/fairness/auction/Auction-0x5b566b473bb0ea8dc0fc6047dd623e5fa3b42307.sol
",6.165s,0.083s,6.248s,13,0,1,0,0
"/home/liuye/fairness/auction/Auction-0x5b566b473bb0ea8dc0fc6047dd623e5fa3b42307.sol
",6.158s,0.082s,6.24s,13,0,0,0,1
"/home/liuye/fairness/auction/Auction-0x5b566b473bb0ea8dc0fc6047dd623e5fa3b42307.sol
",6.062s,0.082s,6.144s,13,0,0,1,0
"/home/liuye/fairness/auction/Auction-0x64cc1a7dfe15f69b2b5dbe80b4e40a51aaa7917c.sol
",2.34s,0.083s,2.423s,7,1,0,0,0
"/home/liuye/fairness/auction/Auction-0x64cc1a7dfe15f69b2b5dbe80b4e40a51aaa7917c.sol
",2.299s,0.086s,2.385s,7,0,1,0,0
"/home/liuye/fairness/auction/Auction-0x64cc1a7dfe15f69b2b5dbe80b4e40a51aaa7917c.sol
",2.329s,0.077s,2.406s,7,0,0,0,1
"/home/liuye/fairness/auction/Auction-0x64cc1a7dfe15f69b2b5dbe80b4e40a51aaa7917c.sol
",2.387s,0.089s,2.476s,7,0,0,1,0
"/home/liuye/fairness/auction/AuctionItem-0x91d0013742c6a6a033d46ac9da7b5e0416c35e24.sol
",1.244s,0.073s,1.317s,4,1,0,0,0
"/home/liuye/fairness/auction/AuctionItem-0x91d0013742c6a6a033d46ac9da7b5e0416c35e24.sol
",1.322s,0.083s,1.405s,4,0,1,0,0
"/home/liuye/fairness/auction/AuctionItem-0x91d0013742c6a6a033d46ac9da7b5e0416c35e24.sol
",1.316s,0.078s,1.394s,4,0,0,0,1
"/home/liuye/fairness/auction/AuctionItem-0x91d0013742c6a6a033d46ac9da7b5e0416c35e24.sol
",1.284s,0.072s,1.356s,4,0,0,0,0
"/home/liuye/fairness/auction/AuctionManager-0x37512eec5e3ee7843a1ab59ef99fb52589037774.sol
",1.569s,0.099s,1.668s,4,1,0,0,0
"/home/liuye/fairness/auction/AuctionManager-0x37512eec5e3ee7843a1ab59ef99fb52589037774.sol
",1.642s,0.106s,1.748s,4,0,1,0,0
"/home/liuye/fairness/auction/AuctionManager-0x37512eec5e3ee7843a1ab59ef99fb52589037774.sol
",1.624s,0.102s,1.726s,4,0,0,0,1
"/home/liuye/fairness/auction/AuctionManager-0x37512eec5e3ee7843a1ab59ef99fb52589037774.sol
",1.623s,0.105s,1.728s,4,0,0,1,0
"/home/liuye/fairness/auction/AuctionMultipleGuaranteed-0x6c1c2fd38fccc0b010f75b2ece535cf57543ddcd.sol
",7.281s,0.111s,7.392s,18,1,0,0,0
"/home/liuye/fairness/auction/AuctionMultipleGuaranteed-0x6c1c2fd38fccc0b010f75b2ece535cf57543ddcd.sol
",7.471s,0.114s,7.585s,18,0,1,0,0
"/home/liuye/fairness/auction/AuctionMultipleGuaranteed-0x6c1c2fd38fccc0b010f75b2ece535cf57543ddcd.sol
",7.622s,0.109s,7.731s,18,0,0,0,1
"/home/liuye/fairness/auction/AuctionMultipleGuaranteed-0x6c1c2fd38fccc0b010f75b2ece535cf57543ddcd.sol
",7.549s,0.108s,7.657s,18,0,0,1,0
"/home/liuye/fairness/auction/AuctionPotato-0x433b189d5fbdfee89e3a9f4c6b9469495fcb00f1.sol
",2.407s,0.072s,2.479s,7,1,0,0,0
"/home/liuye/fairness/auction/AuctionPotato-0x433b189d5fbdfee89e3a9f4c6b9469495fcb00f1.sol
",2.49s,0.077s,2.567s,7,0,1,0,0
"/home/liuye/fairness/auction/AuctionPotato-0x433b189d5fbdfee89e3a9f4c6b9469495fcb00f1.sol
",2.469s,0.074s,2.543s,7,0,0,0,1
"/home/liuye/fairness/auction/AuctionPotato-0x433b189d5fbdfee89e3a9f4c6b9469495fcb00f1.sol
",2.43s,0.074s,2.504s,7,0,0,1,0
"/home/liuye/fairness/auction/BetterAuction-0x215a427c5f35c375525ecafa37c05d4b3ec9b573.sol
",1.573s,0.077s,1.65s,4,1,0,0,0
"/home/liuye/fairness/auction/BetterAuction-0x215a427c5f35c375525ecafa37c05d4b3ec9b573.sol
",1.566s,0.082s,1.648s,4,0,1,0,0
"/home/liuye/fairness/auction/BetterAuction-0x215a427c5f35c375525ecafa37c05d4b3ec9b573.sol
",1.581s,0.081s,1.662s,4,0,0,0,1
"/home/liuye/fairness/auction/BetterAuction-0x215a427c5f35c375525ecafa37c05d4b3ec9b573.sol
",1.609s,0.076s,1.685s,4,0,0,0,0
"/home/liuye/fairness/auction/CryptoRomeAuction.sol
",7.867s,0.081s,7.948s,18,1,0,0,0
"/home/liuye/fairness/auction/CryptoRomeAuction.sol
",7.942s,0.085s,8.027s,18,0,1,0,0
"/home/liuye/fairness/auction/CryptoRomeAuction.sol
",7.944s,0.081s,8.025s,18,0,0,0,1
"/home/liuye/fairness/auction/CryptoRomeAuction.sol
",7.996s,0.071s,8.067s,18,0,0,1,0
"/home/liuye/fairness/auction/Deed-0xed139a28ec75a336bb1dcd6e3a0aba96c8217774.sol
",5.829s,0.063s,5.892s,15,0,0,0,0
"/home/liuye/fairness/auction/Deed-0xed139a28ec75a336bb1dcd6e3a0aba96c8217774.sol
",42.67s,0.067s,42.737s,120,0,0,0,0
"/home/liuye/fairness/auction/Deed-0xed139a28ec75a336bb1dcd6e3a0aba96c8217774.sol
",2.62s,0.068s,2.688s,6,0,0,0,0
"/home/liuye/fairness/auction/Deed-0xed139a28ec75a336bb1dcd6e3a0aba96c8217774.sol
",5.874s,0.071s,5.945s,15,0,0,1,0
"/home/liuye/fairness/auction/EtherAuction-0x2e63cceffa42b095f0bd6d0fcadb521200b8fef5.sol
",8.288s,0.071s,8.359s,20,0,0,0,0
"/home/liuye/fairness/auction/EtherAuction-0x2e63cceffa42b095f0bd6d0fcadb521200b8fef5.sol
",8.485s,0.077s,8.562s,20,0,0,0,0
"/home/liuye/fairness/auction/EtherAuction-0x2e63cceffa42b095f0bd6d0fcadb521200b8fef5.sol
",8.409s,0.079s,8.488s,20,0,0,0,1
"/home/liuye/fairness/auction/EtherAuction-0x2e63cceffa42b095f0bd6d0fcadb521200b8fef5.sol
",8.531s,0.08s,8.611s,20,0,0,1,0
"/home/liuye/fairness/auction/hotPotatoAuction-0x34eee0379a71e445b0dc52bda1d733c449ef1246.sol
",5.443s,0.084s,5.527s,12,1,0,0,0
"/home/liuye/fairness/auction/hotPotatoAuction-0x34eee0379a71e445b0dc52bda1d733c449ef1246.sol
",5.452s,0.09s,5.542s,12,0,1,0,0
"/home/liuye/fairness/auction/hotPotatoAuction-0x34eee0379a71e445b0dc52bda1d733c449ef1246.sol
",5.543s,0.084s,5.627s,12,0,0,0,1
"/home/liuye/fairness/auction/hotPotatoAuction-0x34eee0379a71e445b0dc52bda1d733c449ef1246.sol
",5.479s,0.084s,5.563s,12,0,0,1,0
"/home/liuye/fairness/voting/Association-0xd20a1225cf7410616a5a826bffbef4cd22019030.sol
",46.492s,0.27s,46.762s,54,1,0,0,0
"/home/liuye/fairness/voting/Association-0xd20a1225cf7410616a5a826bffbef4cd22019030.sol
",65.025s,0.346s,65.371s,90,0,1,0,0
"/home/liuye/fairness/voting/Association-0xd20a1225cf7410616a5a826bffbef4cd22019030.sol
",126.005s,0.344s,126.349s,256,0,0,0,1
"/home/liuye/fairness/voting/Ballot-0xfce2e88f90927d5e5a539f1c223a6c6eeadb6cff.sol
",1231.83s,4.234s,1236.06s,3279,1,0,0,0
"/home/liuye/fairness/voting/Ballot-0xfce2e88f90927d5e5a539f1c223a6c6eeadb6cff.sol
",1168.19s,2.733s,1170.92s,3279,0,0,0,0
"/home/liuye/fairness/voting/Ballot.sol
",90.409s,0.483s,90.892s,54,1,0,0,0
"/home/liuye/fairness/voting/Ballot.sol
",115.271s,0.432s,115.703s,90,0,1,0,0
"/home/liuye/fairness/voting/Ballot.sol
",371.383s,1.247s,372.63s,1024,0,0,0,1
"/home/liuye/fairness/voting/HIDERA-0x96906c50c41b3252279c3e2cddc4a59493aadace.sol
",40.146s,0.106s,40.252s,54,1,0,0,0
"/home/liuye/fairness/voting/HIDERA-0x96906c50c41b3252279c3e2cddc4a59493aadace.sol
",49.94s,0.114s,50.054s,90,0,1,0,0
"/home/liuye/fairness/voting/HIDERA-0x96906c50c41b3252279c3e2cddc4a59493aadace.sol
",155.845s,0.497s,156.342s,1024,0,0,0,1
"/home/liuye/fairness/voting/SBIBank-0x28aC77611bf3ae7B776AC7ecd79119D3C161574D.sol
",55.414s,0.277s,55.691s,66,1,0,0,0
