name,construction_time,checking_time,total_time,total,truth_violate,collusion_violate,optimal_violate,efficient_violate
"/home/liuye/fairness/voting-0-1/Association-0xd20a1225cf7410616a5a826bffbef4cd22019030.sol
",48.208s,0.512s,48.72s,54,0,0,0,0
"/home/liuye/fairness/voting-0-1/Association-0xd20a1225cf7410616a5a826bffbef4cd22019030.sol
",64.969s,0.372s,65.341s,90,0,0,0,0
"/home/liuye/fairness/voting-0-1/Association-0xd20a1225cf7410616a5a826bffbef4cd22019030.sol
",128.472s,0.341s,128.813s,256,0,0,0,1
"/home/liuye/fairness/voting-0-1/Ballot-0xfce2e88f90927d5e5a539f1c223a6c6eeadb6cff.sol
",1150.88s,29.535s,1180.42s,3279,0,0,0,0
"/home/liuye/fairness/voting-0-1/Ballot-0xfce2e88f90927d5e5a539f1c223a6c6eeadb6cff.sol
",1203.91s,3.919s,1207.83s,3279,0,0,0,0
"/home/liuye/fairness/voting-0-1/Ballot.sol
",95.239s,0.737s,95.976s,54,0,0,0,0
"/home/liuye/fairness/voting-0-1/Ballot.sol
",126.143s,0.565s,126.708s,90,0,0,0,0
"/home/liuye/fairness/voting-0-1/Ballot.sol
",401.544s,1.908s,403.452s,1024,0,0,0,1
"/home/liuye/fairness/voting-0-1/HIDERA-0x96906c50c41b3252279c3e2cddc4a59493aadace.sol
",39.846s,0.181s,40.027s,54,0,0,0,0
"/home/liuye/fairness/voting-0-1/HIDERA-0x96906c50c41b3252279c3e2cddc4a59493aadace.sol
",52.235s,0.153s,52.388s,90,0,0,0,0
"/home/liuye/fairness/voting-0-1/HIDERA-0x96906c50c41b3252279c3e2cddc4a59493aadace.sol
",161.822s,0.725s,162.547s,1024,0,0,0,1
"/home/liuye/fairness/voting-0-1/SBIBank-0x28aC77611bf3ae7B776AC7ecd79119D3C161574D.sol
",52.739s,0.644s,53.383s,66,0,0,0,0
"/home/liuye/fairness/voting-0-1/SBIBank-0x28aC77611bf3ae7B776AC7ecd79119D3C161574D.sol
",500.668s,4.595s,505.263s,966,0,0,0,0
"/home/liuye/fairness/voting-0-1/SBIBank-0x28aC77611bf3ae7B776AC7ecd79119D3C161574D.sol
",2607.27s,54.718s,2661.99s,16416,0,0,0,1
