name,construction_time,checking_time,total_time,total,truth_violate,collusion_violate,optimal_violate,efficient_violate
"/home/liuye/fairness/voting/Association-0xd20a1225cf7410616a5a826bffbef4cd22019030.sol
",46.492s,0.27s,46.762s,54,1,0,0,0
"/home/liuye/fairness/voting/Association-0xd20a1225cf7410616a5a826bffbef4cd22019030.sol
",65.025s,0.346s,65.371s,90,0,1,0,0
"/home/liuye/fairness/voting/Association-0xd20a1225cf7410616a5a826bffbef4cd22019030.sol
",126.005s,0.344s,126.349s,256,0,0,0,1
"/home/liuye/fairness/voting/Ballot-0xfce2e88f90927d5e5a539f1c223a6c6eeadb6cff.sol
",1231.83s,4.234s,1236.06s,3279,1,0,0,0
"/home/liuye/fairness/voting/Ballot-0xfce2e88f90927d5e5a539f1c223a6c6eeadb6cff.sol
",1168.19s,2.733s,1170.92s,3279,0,0,0,0
"/home/liuye/fairness/voting/Ballot.sol
",90.409s,0.483s,90.892s,54,1,0,0,0
"/home/liuye/fairness/voting/Ballot.sol
",115.271s,0.432s,115.703s,90,0,1,0,0
"/home/liuye/fairness/voting/Ballot.sol
",371.383s,1.247s,372.63s,1024,0,0,0,1
"/home/liuye/fairness/voting/HIDERA-0x96906c50c41b3252279c3e2cddc4a59493aadace.sol
",40.146s,0.106s,40.252s,54,1,0,0,0
"/home/liuye/fairness/voting/HIDERA-0x96906c50c41b3252279c3e2cddc4a59493aadace.sol
",49.94s,0.114s,50.054s,90,0,1,0,0
"/home/liuye/fairness/voting/HIDERA-0x96906c50c41b3252279c3e2cddc4a59493aadace.sol
",155.845s,0.497s,156.342s,1024,0,0,0,1
"/home/liuye/fairness/voting/SBIBank-0x28aC77611bf3ae7B776AC7ecd79119D3C161574D.sol
",55.414s,0.277s,55.691s,66,1,0,0,0
"/home/liuye/fairness/voting/SBIBank-0x28aC77611bf3ae7B776AC7ecd79119D3C161574D.sol
",483.948s,1.569s,485.517s,966,0,1,0,0
"/home/liuye/fairness/voting/SBIBank-0x28aC77611bf3ae7B776AC7ecd79119D3C161574D.sol
",2617.73s,42.774s,2660.51s,16416,0,0,0,1
