name,construction_time,checking_time,total_time,total,truth_violate,collusion_violate,optimal_violate,efficient_violate
"/home/liuye/fairness/auction/Auction-0x3280660b3bafdad41a774938ab5a34ae463edbfe.sol
",7.96,0.11,8.07,18,1,1,1,1
"/home/liuye/fairness/auction/Auction-0x5b566b473bb0ea8dc0fc6047dd623e5fa3b42307.sol
",6.04,0.08,6.12,13,1,1,1,1
"/home/liuye/fairness/auction/Auction-0x64cc1a7dfe15f69b2b5dbe80b4e40a51aaa7917c.sol
",2.34,0.08,2.42,7,1,1,1,1
"/home/liuye/fairness/auction/AuctionItem-0x91d0013742c6a6a033d46ac9da7b5e0416c35e24.sol
",1.29,0.08,1.37,4,1,1,0,1
"/home/liuye/fairness/auction/AuctionManager-0x37512eec5e3ee7843a1ab59ef99fb52589037774.sol
",1.61,0.10,1.72,4,1,1,1,1
"/home/liuye/fairness/auction/AuctionMultipleGuaranteed-0x6c1c2fd38fccc0b010f75b2ece535cf57543ddcd.sol
",7.48,0.11,7.59,18,1,1,1,1
"/home/liuye/fairness/auction/AuctionPotato-0x433b189d5fbdfee89e3a9f4c6b9469495fcb00f1.sol
",2.45,0.07,2.52,7,1,1,1,1
"/home/liuye/fairness/auction/BetterAuction-0x215a427c5f35c375525ecafa37c05d4b3ec9b573.sol
",1.58,0.08,1.66,4,1,1,0,1
"/home/liuye/fairness/auction/CryptoRomeAuction.sol
",7.94,0.08,8.02,18,1,1,1,1
"/home/liuye/fairness/auction/Deed-0xed139a28ec75a336bb1dcd6e3a0aba96c8217774.sol
",14.25,0.07,14.32,15,0,0,1,0
"/home/liuye/fairness/auction/EtherAuction-0x2e63cceffa42b095f0bd6d0fcadb521200b8fef5.sol
",8.43,0.08,8.50,20,0,0,1,1
"/home/liuye/fairness/auction/hotPotatoAuction-0x34eee0379a71e445b0dc52bda1d733c449ef1246.sol
",5.48,0.09,5.56,12,1,1,1,1
